3,Brighton Belle,6th November 2013,Brett Webber,Filly,Main Aim,Canterbury Belle,Mr M S Moosa &amp; Mrs B I D'oliviera
6,Casa De Var,21st October 2013,Gavin Smith,Filly,Var,Inanda House,Messrs M S Pillay &amp; G D Smith
4,Golden Memories,10th August 2012,Grant Maroun,Filly,Toreador,Good Ol Days,Mr G J Maroun
1,Osculation,17th September 2013,Roy Magner,Filly,Argonaut,Kissing Cousin,Mr G R Sadleir
5,Cape Orchid,28th September 2013,Sean Tarry,Filly,Greys Inn,Cherry Blossom,Messrs S Mathen M A Currie W H Jacobs E C Van N
7,Flush,23rd October 2013,Paul Peter,Filly,The Sheik,Enrichment,Hyperpaint Syndicate (nom: Mr G T Peter)
2,Erhardt,16th October 2013,Paul Peter,Filly,Miesque's Approval,Flying Filly,Hyperpaint Syndicate (nom: Mr G T Peter)
8,Katica,19th October 2013,Paul Peter,Filly,Noordhoek Flyer,Wolf Beat,Hyperpaint Syndicate (nom: Mr G T Peter) &amp; Messrs
17,Aimee Sweet,5th September 2013,Grant Maroun,Filly,Great Britain,Centrespread,Mr G J Maroun
12,Summer Love,28th October 2013,David Nieuwenhuizen,Filly,Black Minnaloushe,Set For Summer,Messrs B O Lenders C P Bronkhorst A Christodolid
18,Bueller,22nd February 2013,R Bouresly,Horse,Medaglia D'oro,Cheeky Charm,Bouresly Racing Syndicate
14,Vivacious Vivian,24th October 2013,Chris Erasmus,Filly,Noordhoek Flyer,Seminole,Grazanite (pty) Ltd
13,Twinkle Town,30th September 2013,Michael Nicholas Houdalakis,Filly,Mogok,Tellittothestars,Messrs W J Laird &amp; R M Scott &amp; Mesdames N Houdalak
11,Phabeni,24th September 2013,Sean Tarry,Filly,Gitano Hernando,Kruger Park,Messrs W H Jacobs M A Currie S Mathen E C Van N
15,Kitty Coo,4th September 2013,Heather Adamson,Filly,Main Aim,Good Ol Days,Mr Andre Du Plessis
16,Would I Lie To You,19th August 2013,Sarel von Willingh Smit,Filly,A P Answer,Sapphire Serenade,Mr Siva Reddy
22,Bustopher,19th April 2010,R Bouresly,Gelding,Elusive Quality,Catstar,Bouresly Racing Syndicate
27,Prepared,26th April 2009,A Al Rayhi,Gelding,More Than Ready,Mannington,Sh Majid bin Mohd Al Maktoum
24,Tobaco,1st January 2012,D Watson,Gelding,Roman Ruler,Tacanuya,Mohd Khalifa Al Basti
