0020051,Always On My Mind,10th May 2013,Brad Cox,Mare,Congrats,Without You Babe,John Gunther
0020068,Dunkirk Survivor,10th March 2014,Sara Stanoszek,Filly,Dunkirk,Medicinal,Sara Stanoszek
0020054,Final Chapter,20th March 2012,Charlton Baker,Gelding,Thunder Gulch,Comedy Of Errors,Michael Foster
0020065,Sir Bond,7th February 2009,Bruno Tessore,Gelding,Street Sense,Emmaus,Happy Thoroughbreds Llc
0020029,Down Town Kitty,21st April 2011,Jr Eduardo Maver,Gelding,Relato Del Gato,Down Town Miss,Madeline Cohn
0020073,Coabey,11th March 2009,Billy Blevins,Gelding,Exclusive Quality,Helyna's Dream,Billy Blevins
0020077,Best Play,25th March 2010,Bruce Levine,Gelding,Speightstown,Colonial Play,Tom Lemme
0020020,U Know That Rite,17th February 2014,Ilmar Loaiza,Filly,To Honor And Serve,Flowers Athefinish,Lima Horse Racing Llc
0020078,S S Astonishment,30th May 2012,Carl Bailey,Gelding,Eckelson,Sunday Prayers,Carl Bailey
0020064,Miss American Lion,21st April 2014,Kevin Fletcher,Filly,American Lion,Klinsman's Luck,Red Riding Hood Stables Llc
0020075,Chunnel,9th April 2011,Jose Bobadilla,Gelding,English Channel,Empress Gracie,Anualpe Stable
0020083,Gorgeous Charli,21st March 2012,Bruce Kravets,Gelding,Speightstown,Hi Beautiful,Stevark Stable Inc
0020087,Curious Cal,4th May 2011,Eduardo Rojas,Gelding,Cowboy Cal,Joyjoyjoy,R J G Racing Management Llc
0020039,Kyles Marigold,6th April 2013,William Cowans,Mare,Pure Prize,Create A Legend,William Cowans
0020088,Little Popsie,13th March 2012,David Cannizzo,Colt,Spring At Last,Cercis,Ben Mondello
0020030,American Mink,4th May 2011,Linda Fisher,Gelding,Artie Schiller,Miss American Mink,Linda Fisher
0020074,Five Boys,3rd April 2010,Haley Hester,Gelding,Unusual Heat,Ivory Treasure,Haley Hester
0020085,Foreset,1st March 2013,Michael Pino,Gelding,Forestry,Way With Words,Vincent Scuderi
0020061,Chamois,31st March 2010,James Acquilano,Horse,Smart Strike,Meridiana,Dorothea Acquilano
0020093,Power Nap,7th April 2012,Daryl Ezra,Gelding,Smart Strike,Windy,James Schlehr
0020084,Kohlhase,6th April 2012,R Rodriguez,Gelding,Mineshaft,Flexible Princess,Robert LaPenta
0020040,Stony Brook,20th April 2013,Dale Bennett,Gelding,Smarty Jones,Ava Anne,Equiforce Inc  Hoffman Keith And Nicholson Frank
0020095,Lazarus Project,24th February 2013,Jay Bernardini,Gelding,Discreetly Mine,Oil Empress,Mitre Box Stable
0020097,Conquest Prankster,23rd March 2014,Brandon Kulp,Gelding,Into Mischief,Summer Dream,Joel Sandstrom
0020098,Blue Belt,15th May 2014,Julie Pappada,Gelding,Bluegrass Cat,Gins Majesty,Scott Fairlie
0020049,Wonder Gal,16th March 2012,Leah Gyarmati,Filly,Tiz Wonderful,Passe,Clearview Stable Llc
