0040005,Top Bid,27th June 2021,T D Easterby,Gelding,-,-,-
0040004,Skye But N Ben,27th June 2021,A J McCabe,Gelding,-,-,-
0040003,Tender Process (IRE),27th June 2021,J R Boyle,Gelding,-,-,-
0040006,Mustamad,27th June 2021,C Gordon,Gelding,-,-,-
0040002,Just Lille (IRE),27th June 2021,Mrs A Duffield,Mare,-,-,-
0040008,Loup Mysterieux (FR),27th June 2021,A Lyon,Gelding,-,-,-
0040007,Maximo (GER),27th June 2021,T G McCourt,Gelding,-,-,-
0040001,Cape,27th June 2021,P Howling,Filly,-,-,-
0040013,Danzon (USA),27th June 2021,Rohaut (s),Mare,-,-,-
0040012,Alchimia (FR),27th June 2021,P Bary,Filly,-,-,-
0040011,Getaway (GER),27th June 2021,J Hirschberger,Horse,-,-,-
0040009,Pointilliste (USA),27th June 2021,N Meade,Colt,-,-,-
0040014,Sakkaline (IRE),27th June 2021,F Chappet,Horse,-,-,-
0040023,Cordova (USA),27th June 2021,Jr Ralph Comi,Gelding,-,-,-
0040010,Paktolos (FR),27th June 2021,John Harris,Gelding,-,-,-
0040048,Oscar Lyons (IRE),27th June 2021,J Crowley,Gelding,-,-,-
0040053,Dickie Le Davoir,27th June 2021,R C Guest,Gelding,-,-,-
0040047,City Beach (IRE),27th June 2021,T Carberry,Gelding,-,-,-
0040054,Nota Liberata,27th June 2021,P Griffin,Gelding,-,-,-
0040045,Ball Bering (IRE),27th June 2021,David O'connor,Gelding,-,-,-
0040049,Road To Recovery,27th June 2021,R Brotherton,Gelding,-,-,-
0040052,Dee Cee Elle,27th June 2021,J L Flint,Mare,-,-,-
0040051,Danum Dancer,27th June 2021,N Bycroft,Gelding,-,-,-
0040058,Proud Andees (IRE),27th June 2021,G Hanmer,Gelding,-,-,-
0040057,White Deer (USA),27th June 2021,G A Harker,Gelding,-,-,-
0040055,Practicallyperfect (IRE),27th June 2021,Ollie Pears,Filly,-,-,-
0040063,Danak (IRE),27th June 2021,D Watson,Horse,-,-,-
0040062,Goochie (IRE),27th June 2021,J J Murphy,Filly,-,-,-
0040061,Delphia (IRE),27th June 2021,J P Ryan,Mare,-,-,-
0040068,Neighbours Wager (IRE),27th June 2021,G Ahern,Mare,-,-,-
0040064,Simons Girl (IRE),27th June 2021,W J Burke,Mare,-,-,-
0040059,Eagle Mountain,27th June 2021,M F De Kock,Horse,-,-,-
0040067,Duly Noted (IRE),27th June 2021,C J Mann,Filly,-,-,-
0040065,Vickate (IRE),27th June 2021,A Lynch,Mare,-,-,-
0040069,Presenting Copper (IRE),27th June 2021,P J Hobbs,Filly,-,-,-
0040050,Dab Hand (IRE),27th June 2021,J Larkin,Gelding,-,-,-
0040046,Crumlin Flyer (IRE),27th June 2021,J J Hanlon,Gelding,-,-,-
0040056,Kunte Kinteh,27th June 2021,D Nicholls,Gelding,-,-,-
0040060,Numen,7th March 2017,A P O'Brien,Colt,Galileo,Divine Proportions,Flaxman Stables Ireland Ltd &amp; Mrs John Magnier &amp; Michael Tabor &amp; Derrick Smith
0040091,Blue Ksar (FR),27th June 2021,E Charpy,Horse,-,-,-
0040066,Ballybrowney Hall (IRE),27th June 2021,Mrs J Riordan,Mare,-,-,-
0040093,Hawaii Prince,27th June 2021,S T Mason,Gelding,-,-,-
0040070,Shesadoll (IRE),27th June 2021,Mrs Drumm,Mare,-,-,-
0040101,No Complaint (IRE),27th June 2021,T R George,Gelding,-,-,-
0040080,Frivolity (USA),27th June 2021,Steve Klesaris,Mare,-,-,-
0040097,Black Ven (IRE),27th June 2021,O Sherwood,Gelding,-,-,-
0040111,Vital Statistics,27th June 2021,D R C Elsworth,Filly,-,-,-
0040092,Art Man,27th June 2021,J D Frost,Gelding,-,-,-
0040107,Dazed And Amazed,27th June 2021,R Hannon,Gelding,-,-,-
0040099,Henbeck Lady (IRE),27th June 2021,Miss L C Siddall,Mare,-,-,-
0040095,Lucky Nellerie (FR),27th June 2021,Mrs A Lee,Gelding,-,-,-
0040103,Tolede (FR),27th June 2021,N J Henderson,Gelding,-,-,-
0040105,Otto des Pictons (FR),27th June 2021,J L Flint,Gelding,-,-,-
0040100,Lucozade,27th June 2021,Mrs S J Smith,Gelding,-,-,-
0040131,Saraban (IRE),27th June 2021,J Geoghegan,Gelding,-,-,-
0040113,Prince of Delphi,27th June 2021,Mrs A L M King,Gelding,-,-,-
0040110,Sonny Red (IRE),27th June 2021,D Nicholls,Gelding,-,-,-
0040141,Dani's Girl (IRE),27th June 2021,P Phelan,Mare,-,-,-
0040102,One Accord,27th June 2021,Miss L C Siddall,Gelding,-,-,-
0040109,Silver Hotspur,27th June 2021,D Shaw,Gelding,-,-,-
0040151,Satindra (IRE),27th June 2021,Mrs C J Ikin,Gelding,-,-,-
0040096,Ace of Clubs (IRE),27th June 2021,N A Twiston-Davies,Gelding,-,-,-
0040112,Parthenope,27th June 2021,J A Geake,Mare,-,-,-
0040098,Costa Courta (FR),27th June 2021,C P Morlock,Gelding,-,-,-
0040094,Nufoudh (IRE),27th June 2021,Miss Tracy Waggott,Gelding,-,-,-
0040106,Conquest,16th May 2015,A P O'Brien,Filly,Galileo,Lillie Langtry,Derrick Smith &amp; Mrs John Magnier &amp; Michael Tabor
0040133,Even Homer Nods (IRE),27th June 2021,A F Gorman,Gelding,-,-,-
0040161,Damhsoir (IRE),27th June 2021,H S Howe,Filly,-,-,-
0040135,Emerson Breeze (IRE),27th June 2021,H Rogers,Gelding,-,-,-
0040137,Lord Of The Tavern (IRE),27th June 2021,P Fenton,Gelding,-,-,-
0040108,Napoleon Dynamite (IRE),27th June 2021,Miss S A Finn,Gelding,-,-,-
0040104,Ashwell Lad (IRE),27th June 2021,R T Phillips,Gelding,-,-,-
0040171,Councillor Jack (IRE),27th June 2021,Evan Williams,Gelding,-,-,-
0040132,Dancing Tornado (IRE),27th June 2021,M Hourigan,Gelding,-,-,-
0040140,Cabin Point (IRE),27th June 2021,Mrs J Harrington,Filly,-,-,-
0040155,Aghawonan Vic (IRE),27th June 2021,Mrs B O'Reilly,Gelding,-,-,-
0040114,Ocean Blaze,27th June 2021,B R Millman,Mare,-,-,-
0040153,Sports Casual,27th June 2021,Mrs Y Dunleavy,Mare,-,-,-
0040165,Mexican Bob,27th June 2021,H J Evans,Gelding,-,-,-
0040150,Fabled (IRE),27th June 2021,G J Power,Gelding,-,-,-
0040139,Gandolfini (IRE),27th June 2021,H Rogers,Gelding,-,-,-
0040142,Tulipa Negra (USA),27th June 2021,J A Codd,Mare,-,-,-
0040163,Ella Y Rossa,27th June 2021,C R Dore,Filly,-,-,-
0040157,Upyapup (IRE),27th June 2021,P J Hayes,Gelding,-,-,-
0040160,Whiskey Junction,27th June 2021,M Quinn,Gelding,-,-,-
