ID,NAME,DOB,TRAINER,GENDER,SIRE,DAM,OWNER
0075120,Paidrin (USA),13th July 2021,J S Bolger,Filly,-,-,-
0075122,Dawal (IRE),13th July 2021,E Doyle,Gelding,-,-,-
0075108,Chorus Of Angels,13th July 2021,D Wachman,Filly,-,-,-
0075134,Vallee D'anjou (FR),13th July 2021,Chirurgien (s),Filly,-,-,-
0075110,Firey Red (IRE),13th July 2021,D K Weld,Filly,-,-,-
0075106,Rip Van Winkle (IRE),13th July 2021,A P O'Brien,Colt,-,-,-
0075109,Definite Opinion (IRE),13th July 2021,J T Gorman,Filly,-,-,-
0075123,Chika Boom (IRE),13th July 2021,D M Fogarty,Filly,-,-,-
0075137,Dream of Olwyn (IRE),13th July 2021,J G Given,Mare,-,-,-
0075135,Wee Bizzom,13th July 2021,A Berry,Filly,-,-,-
0075125,Wild And Innocent (IRE),13th July 2021,J T Gorman,Gelding,-,-,-
0075121,Ballyhaunis,13th July 2021,W P Mullins,Gelding,-,-,-
0075124,De Senectute (IRE),13th July 2021,W P Mullins,Filly,-,-,-
0075138,Shaylee,13th July 2021,T D Walford,Filly,-,-,-
0075140,Imaginary Diva,13th July 2021,G G Margarson,Mare,-,-,-
0075139,Happy Forever (FR),13th July 2021,M Botti,Filly,-,-,-
0075136,Give Us A Song (USA),13th July 2021,J S Moore,Gelding,-,-,-
0075154,Lion's Share,24th January 2015,Roger Attfield,Gelding,Animal Kingdom,Miss Lombardi,Nk Racing
0075193,Cash In The Attic,13th July 2021,M R Channon,Filly,-,-,-
0075191,Yxes (IRE),13th July 2021,E J Creighton,Filly,-,-,-
0075190,Kaiser Willie (IRE),13th July 2021,B W Duke,Gelding,-,-,-
0075192,Carina Nebula (USA),13th July 2021,T G Mills,Filly,-,-,-
0075199,Whispering Spirit (IRE),13th July 2021,Mrs A Duffield,Mare,-,-,-
0075198,Straboe (USA),13th July 2021,S C Williams,Gelding,-,-,-
0075194,Dubai Express,13th July 2021,Jason Cairns,Mare,-,-,-
0075195,Mary Mason,13th July 2021,James Moffatt,Filly,-,-,-
0075197,Petrenko,13th July 2021,R A Fahey,Colt,-,-,-
